iter	Logloss
0	0.6575299277
1	0.6230627661
2	0.5925539344
3	0.563858752
4	0.5359254617
5	0.5116618617
6	0.4885570377
7	0.4681958394
8	0.449296212
9	0.4320203945
10	0.416103698
11	0.4012724781
12	0.3877617254
13	0.3746318966
14	0.3631872626
15	0.3526247845
16	0.3419671739
17	0.3327765299
18	0.3234775433
19	0.3148177103
20	0.3065945349
21	0.299079721
22	0.2922022775
23	0.2868293117
24	0.2816400195
25	0.2766479567
26	0.2708488724
27	0.2653953108
28	0.2609960018
29	0.2562918468
30	0.251818791
31	0.2468541775
32	0.2422029183
33	0.2375865539
34	0.2337093436
35	0.2318519492
36	0.2284574591
37	0.2245336208
38	0.2213673437
39	0.2184355834
40	0.2154056144
41	0.2124562838
42	0.209768414
43	0.2072739606
44	0.2054074615
45	0.2033579444
46	0.2011374906
47	0.199235663
48	0.1976293273
49	0.1961429923
50	0.1947345849
51	0.1934826346
52	0.191879307
53	0.1906666301
54	0.1894544583
55	0.1884061735
56	0.1872840047
57	0.1862934355
58	0.1853942401
59	0.1845211638
60	0.1836472162
61	0.1828732765
62	0.1820873861
63	0.1814782483
64	0.1807268506
65	0.179945958
66	0.1792951173
67	0.1786212913
68	0.1781243444
69	0.1775630458
70	0.1770770552
71	0.1765690607
72	0.1759800771
73	0.1755191942
74	0.1749503755
75	0.1744935544
76	0.1740390674
77	0.1735698472
78	0.1730574313
79	0.1724308459
80	0.1718024408
81	0.1710992621
82	0.170668704
83	0.1701893377
84	0.1696447152
85	0.169176413
86	0.1687059815
87	0.1682690314
88	0.1678695829
89	0.1675568982
90	0.1671526663
91	0.1668625089
92	0.1665447565
93	0.1663663839
94	0.1661353909
95	0.1658883391
96	0.1656406281
97	0.1653763869
98	0.1652043401
99	0.165025097
100	0.1647583714
101	0.1645864175
102	0.1643100262
103	0.1641148392
104	0.1638892808
105	0.1637580739
106	0.1636059251
107	0.1634651485
108	0.1632137822
109	0.1630242706
110	0.162840298
111	0.1627243456
112	0.1626526643
113	0.1625001612
114	0.1624407967
115	0.1623423658
116	0.1622646813
117	0.1621715756
118	0.162003036
119	0.1618329538
120	0.1617660647
121	0.161649575
122	0.1615868217
123	0.1614851913
124	0.1614176587
125	0.1613470266
126	0.1611574574
127	0.1610837731
128	0.1609633458
129	0.1608866444
130	0.1608321478
131	0.1606725553
132	0.1605816335
133	0.1605439281
134	0.1604963924
135	0.1604231344
136	0.1603553512
137	0.1602912626
138	0.1602202627
139	0.160125462
140	0.1600797609
141	0.1599787103
142	0.1598790825
143	0.1598061336
144	0.1597660359
145	0.1597012492
146	0.1596201373
147	0.1595139893
148	0.159321711
149	0.1591158396
150	0.1589405754
151	0.1588846236
152	0.1587501263
153	0.1585871451
154	0.1585329947
155	0.1584340674
156	0.1582998464
157	0.1581442484
158	0.1579861214
159	0.1578119365
160	0.1576887908
161	0.1575753069
162	0.1575202833
163	0.1573881073
164	0.1572752388
165	0.1571480025
166	0.1570632951
167	0.156995263
168	0.1569116178
169	0.1568811862
170	0.1568036008
171	0.1567352261
172	0.1567228947
173	0.156693363
174	0.1565673475
175	0.1564755612
176	0.156376395
177	0.1563348223
178	0.1561975574
179	0.1561146112
180	0.1560276909
181	0.1559686421
182	0.1558973802
183	0.1557655781
184	0.1557183636
185	0.1556613349
186	0.1556155579
187	0.1555608858
188	0.1555407428
189	0.1554972449
190	0.1554398501
191	0.1553850768
192	0.1552856169
193	0.1552416737
194	0.1551848158
195	0.1550431995
196	0.1550262124
197	0.154963974
198	0.1549286042
199	0.1548445486
200	0.1547616974
201	0.1547272887
202	0.1547074377
203	0.1546232834
204	0.1545932134
205	0.1545201571
206	0.1544178436
207	0.1543613761
208	0.1543048323
209	0.1542708385
210	0.1542470897
211	0.1541721032
212	0.1541387139
213	0.1541202657
214	0.1540665578
215	0.1539825236
216	0.153938679
217	0.1539053595
218	0.1538285316
219	0.1537664922
220	0.15368947
221	0.1536620947
222	0.1536530302
223	0.1536408132
224	0.1536179108
225	0.1535688394
226	0.1535449705
227	0.1535159262
228	0.1534497723
229	0.1534393249
230	0.1533804507
231	0.153314743
232	0.1532652326
233	0.1532307173
234	0.1531870474
235	0.1531269089
236	0.1530832644
237	0.1529802619
238	0.1529469164
239	0.1529158467
240	0.1528713591
241	0.1528320276
242	0.1528006047
243	0.1527592457
244	0.1526984056
245	0.1526427267
246	0.1525852918
247	0.1525177701
248	0.152457908
249	0.1524203291
250	0.1523474315
251	0.1522978784
252	0.1522860817
253	0.152247821
254	0.1522227126
255	0.1522040495
256	0.1521806779
257	0.1521222674
258	0.1520864454
259	0.1520259201
260	0.1519816492
261	0.1519144184
262	0.1518600635
263	0.1518387635
264	0.1518037391
265	0.151762416
266	0.1517213929
267	0.1516237978
268	0.1515958282
269	0.1515396232
270	0.1515345844
271	0.15148698
272	0.1514431971
273	0.1514217225
274	0.1513961005
275	0.1513179322
276	0.1512965887
277	0.1512116286
278	0.1511780727
279	0.1511664843
280	0.1511557712
281	0.1511393214
282	0.1511073998
283	0.1510691086
284	0.1510009539
285	0.150953849
286	0.1509462994
287	0.1509149525
288	0.150889627
289	0.1508133816
290	0.1508083663
291	0.1507593918
292	0.1506955235
293	0.1506316258
294	0.1505834657
295	0.1505585128
296	0.150514771
297	0.150476413
298	0.1504662693
299	0.1504622212
300	0.1504346483
301	0.1503508716
302	0.1503132794
303	0.1502900669
304	0.1502484607
305	0.1502167407
306	0.1501774238
307	0.1501770262
308	0.1501644172
309	0.1501222188
310	0.1500548259
311	0.1500001618
312	0.1499937458
313	0.1499699479
314	0.1499631218
315	0.14991618
316	0.1499016591
317	0.1498513082
318	0.1497961277
319	0.1497249673
320	0.1497081463
321	0.1496951368
322	0.1496828606
323	0.1496502501
324	0.1496148362
325	0.1495690649
326	0.1495464532
327	0.1494685094
328	0.1494214641
329	0.1493541847
330	0.1493175843
331	0.1492968854
332	0.1492912544
333	0.1492396342
334	0.1492214372
335	0.1491849196
336	0.1491534926
337	0.1491459239
338	0.1491274265
339	0.1490979136
340	0.1490947041
341	0.149081595
342	0.1490074062
343	0.1489967056
344	0.1489766758
345	0.1489544781
346	0.1489309905
347	0.1489127439
348	0.148905641
349	0.1488504734
350	0.1488241503
351	0.1487662773
352	0.1487332446
353	0.1487110446
354	0.1486166938
355	0.1485807554
356	0.1485647516
357	0.1485610447
358	0.1485263848
359	0.1484737923
360	0.1484543225
361	0.1484417286
362	0.1484007183
363	0.1483934287
364	0.1483130176
365	0.1483130025
366	0.1482912814
367	0.1482562992
368	0.1482313337
369	0.1481864033
370	0.1481403652
371	0.1480874787
372	0.1480681066
373	0.1480128081
374	0.1479389216
375	0.1479211492
376	0.1478776883
377	0.1478314837
378	0.1477861246
379	0.1477732722
380	0.1477210888
381	0.1477155483
382	0.1476366189
383	0.1475950256
384	0.1475778973
385	0.1475513457
386	0.1475344234
387	0.1474991697
388	0.1474839304
389	0.1474601118
390	0.147453556
391	0.1474175811
392	0.1473654085
393	0.1473246186
394	0.1473002752
395	0.1472678082
396	0.1472534955
397	0.1472131362
398	0.1471609285
399	0.1471351151
400	0.14708582
401	0.1470772561
402	0.1470632236
403	0.1470450652
404	0.1470301415
405	0.1469775945
406	0.1469403739
407	0.1468918877
408	0.1468770615
409	0.1468336103
410	0.1467803834
411	0.1467366398
412	0.1467228122
413	0.1467134848
414	0.146662663
415	0.1466266005
416	0.1465714357
417	0.1465534416
418	0.1465302555
419	0.1465093623
420	0.1464878584
421	0.1464363012
422	0.1463960094
423	0.1463695694
424	0.1463472493
425	0.1462871984
426	0.1462431353
427	0.1462014477
428	0.1461625083
429	0.1460701893
430	0.1460315771
431	0.1459788413
432	0.1459429831
433	0.1458890808
434	0.1458368215
435	0.1458076043
436	0.1457963163
437	0.1457623327
438	0.1457458606
439	0.1457194697
440	0.1456948404
441	0.1456393756
442	0.1456268626
443	0.1456171987
444	0.1455966577
445	0.1455692037
446	0.1455546387
447	0.145522259
448	0.1454826401
449	0.1454621108
450	0.145454158
451	0.1454100882
452	0.1454027426
453	0.1453932937
454	0.1453604468
455	0.145347815
456	0.145310601
457	0.1452802036
458	0.1452671994
459	0.1452642792
460	0.145221219
461	0.1451888489
462	0.145165519
463	0.1451263941
464	0.1451055658
465	0.1450839794
466	0.1450626863
467	0.1450461619
468	0.145026529
469	0.1449862726
470	0.1449669482
471	0.144925267
472	0.1448708391
473	0.1448517607
474	0.1448229461
475	0.1447657825
476	0.1447250645
477	0.1446880036
478	0.1446543019
479	0.1446340321
480	0.1446166997
481	0.144605672
482	0.1445715944
483	0.1445537783
484	0.144538658
485	0.1444979206
486	0.1444557966
487	0.1444182998
488	0.1443969514
489	0.1443615601
490	0.1443197814
491	0.1442831826
492	0.1442632458
493	0.144226302
494	0.1441920843
495	0.144169474
496	0.1441291081
497	0.1440904845
498	0.1440690888
499	0.1440408478
500	0.1440151378
501	0.143998641
502	0.1439794648
503	0.1439696326
504	0.1439531478
505	0.1439320222
506	0.1439143205
507	0.1438702822
508	0.1438555355
509	0.1438205616
510	0.1438008288
511	0.1437624574
512	0.1437462411
513	0.1436952939
514	0.1436771045
515	0.1436412376
516	0.1436142752
517	0.1435874091
518	0.1435725598
519	0.1435519104
520	0.1435125563
521	0.1434515246
522	0.1434325244
523	0.1434090153
524	0.1433747532
525	0.1433526474
526	0.1433301662
527	0.143291907
528	0.1432621184
529	0.1432308926
530	0.1432053255
531	0.1431866597
532	0.1431606874
533	0.1431351302
534	0.143113039
535	0.143088062
536	0.1430703842
537	0.1430381038
538	0.1430165189
539	0.1429976798
540	0.1429861648
541	0.1429609357
542	0.1429463419
543	0.142931029
544	0.1428798215
545	0.1428609362
546	0.1428537586
547	0.1428367648
548	0.1428166971
549	0.1427880681
550	0.1427686984
551	0.1427503094
552	0.14270121
553	0.1426816246
554	0.1426380352
555	0.1426189383
556	0.142604597
557	0.1425890026
558	0.1425411689
559	0.1424797807
560	0.1424342926
561	0.1424137102
562	0.1423911207
563	0.1423455551
564	0.1423241428
565	0.1422951926
