iter	Passed	Remaining
0	66	66590
1	122	61188
2	159	53161
3	223	55648
4	261	52056
5	287	47636
6	340	48261
7	391	48551
8	414	45690
9	438	43444
10	464	41798
11	517	42575
12	544	41330
13	569	40074
14	619	40663
15	667	41071
16	703	40700
17	753	41083
18	774	39999
19	802	39313
20	842	39284
21	876	38956
22	919	39068
23	976	39717
24	1007	39298
25	1056	39586
26	1121	40409
27	1143	39691
28	1194	39989
29	1260	40744
30	1311	41007
31	1370	41466
32	1426	41807
33	1489	42307
34	1511	41668
35	1573	42143
36	1622	42228
37	1686	42687
38	1759	43367
39	1816	43587
40	1871	43775
41	1943	44339
42	2025	45071
43	2091	45445
44	2164	45937
45	2226	46173
46	2285	46349
47	2325	46113
48	2376	46129
49	2433	46227
50	2492	46378
51	2569	46839
52	2626	46924
53	2689	47112
54	2757	47377
55	2833	47763
56	2895	47898
57	2946	47858
58	2999	47837
59	3062	47985
60	3121	48045
61	3187	48226
62	3245	48273
63	3308	48380
64	3374	48537
65	3425	48469
66	3481	48476
67	3537	48482
68	3592	48467
69	3656	48573
70	3719	48668
71	3771	48606
72	3823	48549
73	3893	48720
74	3950	48719
75	4016	48831
76	4071	48799
77	4124	48756
78	4181	48748
79	4232	48673
80	4283	48602
81	4345	48648
82	4412	48753
83	4469	48740
84	4520	48659
85	4596	48847
86	4654	48845
87	4717	48891
88	4772	48854
89	4851	49054
90	4916	49109
91	4987	49229
92	5048	49233
93	5125	49399
94	5185	49396
95	5252	49459
96	5313	49468
97	5374	49466
98	5447	49579
99	5516	49650
100	5593	49789
101	5665	49880
102	5743	50022
103	5806	50029
104	5871	50051
105	5940	50104
106	6022	50259
107	6104	50415
108	6172	50453
109	6230	50412
110	6294	50412
111	6351	50355
112	6417	50375
113	6497	50499
114	6575	50600
115	6636	50571
116	6704	50598
117	6786	50724
118	6877	50915
119	6943	50920
120	7016	50969
121	7084	50982
122	7153	51002
123	7231	51088
124	7317	51224
125	7390	51261
126	7468	51339
127	7547	51418
128	7626	51490
129	7697	51511
130	7794	51704
131	7876	51796
132	7965	51926
133	8033	51917
134	8095	51871
135	8167	51886
136	8226	51822
137	8298	51835
138	8378	51896
139	8447	51889
140	8519	51900
141	8589	51899
142	8657	51884
143	8732	51909
144	8804	51917
145	8886	51981
146	8952	51948
147	9026	51960
148	9108	52024
149	9181	52026
150	9242	51965
151	9305	51913
152	9381	51934
153	9442	51874
154	9503	51812
155	9582	51841
156	9646	51795
157	9729	51849
158	9801	51841
159	9865	51791
160	9924	51718
161	10008	51770
162	10074	51733
163	10149	51737
164	10216	51700
165	10283	51664
166	10347	51614
167	10426	51636
168	10495	51607
169	10569	51604
170	10633	51551
171	10698	51500
172	10769	51483
173	10846	51490
174	10918	51471
175	10997	51486
176	11070	51473
177	11133	51412
178	11212	51426
179	11284	51406
180	11352	51370
181	11421	51333
182	11492	51308
183	11568	51305
184	11642	51288
185	11700	51204
186	11768	51163
187	11837	51129
188	11909	51105
189	11978	51064
190	12058	51074
191	12135	51070
192	12212	51063
193	12284	51035
194	12353	50999
195	12416	50932
196	12486	50894
197	12552	50842
198	12621	50804
199	12686	50745
200	12759	50720
201	12826	50669
202	12898	50641
203	12959	50565
204	13039	50567
205	13110	50531
206	13177	50482
207	13228	50369
208	13296	50323
209	13364	50276
210	13443	50267
211	13512	50225
212	13582	50186
213	13653	50149
214	13724	50108
215	13808	50119
216	13870	50048
217	13929	49965
218	14002	49937
219	14077	49909
220	14141	49848
221	14205	49784
222	14276	49745
223	14347	49705
224	14411	49639
225	14481	49595
226	14554	49562
227	14628	49530
228	14707	49518
229	14774	49463
230	14839	49399
231	14905	49343
232	14971	49284
233	15045	49251
234	15113	49200
235	15178	49136
236	15251	49102
237	15318	49044
238	15399	49034
239	15475	49005
240	15558	48999
