iter	Logloss
0	0.6558565193
1	0.6222348861
2	0.5912822701
3	0.5618476452
4	0.5356871026
5	0.5116614611
6	0.4892972609
7	0.4677604698
8	0.4490122462
9	0.4317395461
10	0.4157076891
11	0.3998360501
12	0.3854459419
13	0.373098689
14	0.3610810398
15	0.350608795
16	0.340895486
17	0.3310510798
18	0.3228760829
19	0.3153287885
20	0.3075705146
21	0.3011609905
22	0.2949781629
23	0.2883322632
24	0.2830036312
25	0.277491811
26	0.2709473805
27	0.2672652807
28	0.2616547946
29	0.2558460097
30	0.2510701447
31	0.2463619919
32	0.2420290908
33	0.2380234998
34	0.2359565637
35	0.2315693891
36	0.2278865329
37	0.2247170466
38	0.2213293891
39	0.21806723
40	0.2149957047
41	0.2122997524
42	0.2098195938
43	0.2075117774
44	0.2052421625
45	0.2031904296
46	0.2012321518
47	0.1996645181
48	0.19796129
49	0.1963140078
50	0.1949246657
51	0.1933938971
52	0.1921507868
53	0.1906543917
54	0.1896194496
55	0.188484014
56	0.1873568534
57	0.1862936384
58	0.1853696242
59	0.1843891789
60	0.1834575916
61	0.1827072066
62	0.1818708248
63	0.1811107124
64	0.1804190663
65	0.1797329551
66	0.1791340864
67	0.1785327206
68	0.1780463945
69	0.1773477832
70	0.1767384755
71	0.1760954877
72	0.1754303513
73	0.1748021888
74	0.1742631476
75	0.1737749765
76	0.1732646203
77	0.1727762781
78	0.1722962722
79	0.1718150138
80	0.1714392379
81	0.1712215103
82	0.1708448092
83	0.1705377343
84	0.1701624849
85	0.1698117183
86	0.1695672444
87	0.1692557575
88	0.1689827833
89	0.1686794532
90	0.1683124809
91	0.1678486588
92	0.167462086
93	0.1670984207
94	0.1667419294
95	0.1664620357
96	0.166333325
97	0.1660011301
98	0.1657812054
99	0.1655557944
100	0.1653047058
101	0.1651172995
102	0.1648779621
103	0.1646590413
104	0.164424908
105	0.1642736438
106	0.1641457979
107	0.1639066733
108	0.1636864837
109	0.1635865332
110	0.1634212701
111	0.1632822674
112	0.1631489481
113	0.1629957002
114	0.1628697057
115	0.1627744136
116	0.162606497
117	0.162416057
118	0.1622574867
119	0.1621285824
120	0.1619480989
121	0.1618170789
122	0.1617541761
123	0.1617429961
124	0.1615952396
125	0.1614603615
126	0.1613907051
127	0.1612838741
128	0.1611506684
129	0.1610975612
130	0.1610313958
131	0.1608915935
132	0.1607459326
133	0.160644684
134	0.1605385249
135	0.1604206974
136	0.1603811513
137	0.1603442497
138	0.1602609606
139	0.1601648122
140	0.1600574254
141	0.1600180553
142	0.1599355489
143	0.1598303876
144	0.1597985988
145	0.1597069321
146	0.1596065658
147	0.1594171662
148	0.1592090461
149	0.1590667484
150	0.1589151886
151	0.1588783989
152	0.1587875498
153	0.1586310907
154	0.1585370241
155	0.1584303869
156	0.1583212451
157	0.1582113194
158	0.1581598143
159	0.1579957147
160	0.1578770007
161	0.1577632839
162	0.1576854521
163	0.1575790045
164	0.1575007189
165	0.1574528882
166	0.1573759889
167	0.157296708
168	0.1572217474
169	0.1571003034
170	0.1570637853
171	0.1570556016
172	0.15699317
173	0.1568717256
174	0.1568376107
175	0.1567518781
176	0.1566957469
177	0.1565867697
178	0.1565089092
179	0.1564787637
180	0.1564035764
181	0.1563638472
182	0.1563188741
183	0.1562411106
184	0.1562143402
185	0.1561913553
186	0.1561710753
187	0.1560931216
188	0.1560397872
189	0.1560134992
190	0.1559626914
191	0.1558604688
192	0.1558353914
193	0.155797899
194	0.1557774508
195	0.1557573829
196	0.1557259984
197	0.1556807902
198	0.1556385977
199	0.1556008503
200	0.1555557835
201	0.155449415
202	0.1553972384
