iter	Passed	Remaining
0	30	30156
1	85	42807
2	157	52362
3	208	52003
4	238	47473
5	299	49677
6	358	50907
7	390	48402
8	446	49161
9	473	46923
10	516	46472
11	560	46134
12	619	47023
13	644	45393
14	700	45999
15	753	46367
16	806	46634
17	864	47169
18	931	48114
19	983	48197
20	1032	48144
21	1096	48727
22	1138	48378
23	1197	48705
24	1256	48999
25	1314	49248
26	1390	50115
27	1450	50360
28	1513	50667
29	1578	51035
30	1640	51294
31	1704	51562
32	1766	51772
33	1826	51907
34	1880	51859
35	1945	52087
36	2023	52662
37	2093	52998
38	2165	53371
39	2241	53801
40	2298	53761
41	2364	53924
42	2422	53905
43	2484	53988
44	2533	53763
45	2571	53330
46	2631	53362
47	2686	53287
48	2747	53323
49	2813	53458
50	2880	53598
51	2966	54078
52	3012	53835
53	3075	53885
54	3134	53858
55	3191	53803
56	3256	53869
57	3330	54090
58	3404	54292
59	3471	54392
60	3527	54306
61	3586	54266
62	3645	54221
63	3716	54357
64	3783	54427
65	3854	54545
66	3917	54555
67	3991	54713
68	4053	54692
69	4129	54861
70	4197	54916
71	4269	55023
72	4354	55301
73	4417	55273
74	4484	55304
75	4567	55533
76	4648	55720
77	4729	55906
78	4822	56217
79	4888	56216
80	4966	56350
81	5033	56354
82	5100	56353
83	5168	56362
84	5251	56525
85	5320	56549
86	5396	56627
87	5476	56759
88	5561	56924
89	5637	57005
90	5724	57185
91	5794	57186
92	5883	57375
93	5952	57368
94	6038	57524
95	6130	57731
96	6216	57867
97	6287	57866
98	6350	57791
99	6415	57740
100	6486	57732
101	6553	57697
102	6633	57769
103	6711	57823
104	6812	58064
105	6906	58247
106	6993	58362
107	7059	58304
108	7149	58444
109	7234	58531
110	7313	58573
111	7400	58676
112	7483	58742
113	7555	58723
114	7712	59354
115	7816	59565
116	7912	59716
117	8015	59914
118	8091	59901
119	8182	60003
120	8260	60010
121	8341	60029
122	8414	59997
123	8497	60028
124	8592	60149
125	8684	60239
126	8767	60265
127	8845	60261
128	8926	60274
129	8990	60166
130	9066	60143
131	9137	60089
132	9220	60109
133	9295	60076
134	9386	60143
135	9470	60163
136	9550	60158
137	9627	60138
138	9708	60139
139	9792	60154
140	9879	60185
141	9962	60196
142	10043	60191
143	10132	60232
144	10220	60267
145	10290	60193
146	10370	60175
147	10451	60169
148	10536	60175
149	10622	60192
150	10704	60187
151	10776	60121
152	10851	60072
153	10923	60008
154	10999	59964
155	11089	59995
156	11169	59971
157	11243	59915
158	11318	59868
159	11392	59812
160	11453	59688
161	11532	59657
162	11607	59605
163	11678	59533
164	11736	59392
165	11806	59318
166	11884	59281
167	11967	59268
168	12062	59314
169	12151	59327
170	12225	59268
171	12303	59228
172	12399	59272
173	12481	59251
174	12565	59238
175	12643	59194
176	12726	59174
177	12797	59098
178	12877	59061
179	12967	59075
180	13043	59021
181	13121	58973
182	13198	58926
183	13288	58933
184	13362	58866
185	13444	58837
186	13519	58778
187	13596	58723
188	13662	58625
189	13747	58607
190	13832	58587
191	13929	58618
192	14052	58759
193	14174	58888
194	14275	58932
195	14380	58988
196	14464	58957
197	14548	58927
198	14637	58916
199	14717	58871
200	14800	58835
201	14887	58811
202	15052	59098
203	15284	59640
204	15434	59855
205	15563	59986
206	15660	59993
207	15748	59965
208	15844	59968
209	15943	59979
210	16024	59919
211	16106	59868
212	16197	59846
213	16303	59879
214	16387	59835
215	16457	59735
216	16534	59660
217	16624	59634
218	16715	59611
219	16820	59637
220	16900	59573
221	17000	59578
222	17102	59589
223	17178	59510
224	17268	59480
225	17357	59447
226	17431	59359
227	17504	59268
228	17582	59197
229	17671	59160
230	17739	59054
231	17820	58993
232	17905	58941
233	17981	58863
234	18056	58778
235	18143	58736
236	18238	58716
237	18318	58648
238	18402	58593
239	18472	58497
240	18531	58362
241	18567	58156
242	18636	58055
243	18716	57990
244	18792	57912
245	18868	57832
246	18939	57738
247	19028	57697
248	19109	57636
249	19183	57549
250	19261	57477
251	19346	57426
252	19421	57341
253	19521	57334
254	19593	57244
255	19673	57175
256	19752	57104
257	19839	57057
258	19910	56964
259	20000	56924
260	20089	56882
261	20175	56830
262	20265	56790
263	20348	56729
264	20424	56648
265	20484	56525
266	20568	56466
267	20645	56390
268	20730	56335
269	20807	56257
270	20873	56150
271	20955	56085
272	21031	56006
273	21110	55935
274	21191	55869
275	21258	55765
276	21344	55710
277	21424	55640
278	21501	55564
279	21571	55469
280	21650	55396
281	21731	55331
282	21815	55270
283	21897	55206
284	21981	55146
285	22052	55053
286	22133	54985
287	22220	54933
288	22298	54858
289	22380	54794
290	22475	54759
291	22565	54713
292	22667	54695
293	22741	54609
294	22819	54534
295	22893	54449
296	22963	54354
297	23032	54257
298	23085	54123
299	23156	54031
300	23213	53908
301	23287	53824
302	23366	53750
303	23440	53667
304	23522	53600
305	23573	53464
306	23652	53392
307	23729	53314
308	23809	53243
309	23889	53172
310	23969	53102
311	24050	53033
312	24127	52956
313	24212	52898
314	24285	52812
315	24365	52740
316	24454	52688
317	24521	52590
318	24597	52510
319	24681	52448
320	24769	52395
321	24857	52338
322	24940	52275
323	25009	52179
324	25085	52100
325	25190	52081
326	25276	52022
327	25352	51941
328	25428	51860
329	25484	51741
330	25563	51667
331	25647	51603
332	25740	51559
333	25828	51503
334	25908	51430
335	25990	51362
336	26074	51297
337	26153	51223
338	26259	51202
339	26350	51151
340	26449	51115
341	26531	51045
342	26606	50963
343	26686	50891
344	26763	50812
345	26828	50710
346	26908	50637
347	26986	50560
348	27060	50477
349	27140	50403
350	27228	50345
351	27298	50254
352	27371	50167
353	27458	50108
354	27516	49995
355	27592	49915
356	27676	49849
357	27760	49782
358	27831	49694
359	27925	49644
360	28012	49584
361	28090	49506
362	28160	49416
363	28241	49345
364	28324	49277
365	28401	49197
366	28471	49107
367	28563	49054
368	28638	48971
369	28720	48902
370	28804	48835
371	28870	48738
372	28957	48677
373	29039	48605
374	29130	48550
375	29204	48467
376	29288	48399
377	29380	48345
378	29459	48269
379	29523	48170
380	29601	48091
381	29683	48021
382	29771	47960
383	29899	47963
384	30000	47922
385	30077	47844
386	30156	47767
387	30245	47706
388	30328	47636
389	30424	47586
390	30506	47515
391	30584	47437
392	30669	47369
393	30743	47286
394	30815	47198
395	30892	47118
396	30977	47051
397	31055	46974
398	31137	46900
399	31229	46844
400	31303	46759
401	31385	46687
402	31474	46626
403	31554	46550
404	31629	46468
405	31723	46412
406	31805	46340
407	31891	46273
408	31978	46208
409	32063	46140
410	32136	46054
411	32210	45970
412	32293	45898
413	32368	45816
414	32453	45747
415	32543	45685
416	32621	45607
417	32716	45552
418	32804	45487
419	32888	45417
420	32972	45347
421	33049	45266
422	33120	45178
423	33188	45086
424	33269	45012
425	33360	44950
426	33463	44904
427	33538	44822
428	33621	44750
429	33701	44673
430	33778	44594
431	33864	44525
432	33934	44436
433	34008	44351
434	34085	44272
435	34168	44199
436	34249	44125
437	34329	44048
438	34405	43967
439	34485	43891
440	34570	43820
441	34643	43734
442	34722	43657
443	34801	43580
444	34882	43505
445	34961	43427
446	35040	43350
447	35149	43308
448	35254	43263
449	35337	43189
450	35434	43133
451	35529	43076
452	35624	43017
453	35718	42956
454	35805	42887
455	35895	42822
456	35996	42770
457	36086	42705
458	36179	42643
459	36268	42575
460	36358	42510
461	36451	42447
462	36524	42361
463	36594	42272
464	36681	42203
465	36761	42125
466	36845	42052
467	36939	41991
468	37020	41914
469	37110	41848
470	37202	41783
471	37307	41734
472	37404	41675
473	37493	41606
474	37580	41536
475	37668	41466
476	37755	41396
477	37859	41344
478	37954	41282
479	38059	41230
480	38159	41173
481	38274	41132
482	38365	41066
483	38459	41002
484	38581	40968
485	38696	40925
486	38804	40876
487	38912	40826
488	39013	40768
489	39119	40715
490	39205	40642
491	39279	40556
492	39367	40484
493	39451	40409
494	39531	40330
495	39625	40264
496	39715	40194
497	39804	40124
498	39903	40063
499	40000	40000
500	40090	39930
501	40194	39874
502	40287	39806
503	40361	39720
504	40479	39678
505	40570	39608
506	40680	39557
507	40764	39480
508	40853	39408
509	40945	39339
510	41050	39282
511	41140	39212
512	41218	39129
513	41298	39049
514	41389	38978
515	41470	38898
516	41555	38822
517	41666	38771
518	41756	38698
519	41847	38628
520	41944	38563
521	42035	38492
522	42130	38425
523	42215	38348
524	42318	38288
